quantization_bits,ldpc_code_rate,qam_order,snr_db,rows,avg_ber,avg_bler,avg_semantic_score,avg_recovered_accuracy
2,0.75,64,15.0,12,0.017647127278645834,0.5829022306597057,0.41458050161600113,0.40220833333333333
2,0.75,64,20.0,12,0.0,0.0,0.47556548068920773,0.42783333333333334
2,0.75,256,-10.0,12,0.469552978515625,1.0,0.060756606670717354,0.12824166666666667
2,0.75,256,-5.0,12,0.4429302734375,1.0,0.08998194585243857,0.15036666666666668
2,0.75,256,0.0,12,0.39921075032552084,1.0,0.13251110600928462,0.1801
2,0.75,256,5.0,12,0.3411431477864583,1.0,0.1885576968391736,0.24644999999999997
2,0.75,256,10.0,12,0.23958396809895832,1.0,0.2622987106442451,0.31998333333333334
2,0.75,256,15.0,12,0.13890408528645834,1.0,0.3130890329678853,0.35037500000000005
2,0.75,256,20.0,12,0.030794010416666667,0.8335508622053472,0.40752096970876056,0.3999333333333333
4,0.5,4,-10.0,12,0.37486449381510417,1.0,0.016369232597450357,0.11106666666666666
4,0.5,4,-5.0,12,0.28004090576171875,1.0,0.03168393190329269,0.11815833333333332
4,0.5,4,0.0,12,0.10967364501953125,0.9998286136159891,0.08051145387192563,0.15243333333333334
4,0.5,4,5.0,12,2.392578125e-06,0.00033222591362122496,0.5730909506479899,0.4430416666666666
4,0.5,4,10.0,12,0.0,0.0,0.57329460978508,0.4431333333333333
4,0.5,4,15.0,12,0.0,0.0,0.57329460978508,0.4431333333333333
4,0.5,4,20.0,12,0.0,0.0,0.57329460978508,0.4431333333333333
4,0.5,16,-10.0,12,0.43655961100260415,1.0,0.0794468292345603,0.14614166666666667
4,0.5,16,-5.0,12,0.37793596598307294,1.0,0.11525051419933634,0.17523333333333335
4,0.5,16,0.0,12,0.27460098876953126,1.0,0.14966448893149692,0.20626666666666668
4,0.5,16,5.0,12,0.11608218994140625,0.9998523440383905,0.1661267429590225,0.22524166666666667
4,0.5,16,10.0,12,2.2074381510416665e-05,0.0021054158097347,0.5719009141127268,0.44262500000000005
4,0.5,16,15.0,12,4.069010416666667e-09,1.3183568000843748e-06,0.5732945998509725,0.4431333333333333
4,0.5,16,20.0,12,0.0,0.0,0.57329460978508,0.4431333333333333
4,0.5,64,-10.0,12,0.45484315592447916,1.0,0.03096664370968934,0.10523333333333333
4,0.5,64,-5.0,12,0.4117503621419271,1.0,0.03695072513073679,0.10789166666666666
4,0.5,64,0.0,12,0.3388310668945313,1.0,0.05012503514687214,0.11093333333333333
4,0.5,64,5.0,12,0.24384835205078126,1.0,0.061536697981258194,0.13176666666666667
4,0.5,64,10.0,12,0.08711872151692708,0.9878697990824237,0.11842204009493189,0.18359166666666668
4,0.5,64,15.0,12,9.734700520833333e-05,0.0063083372884036835,0.5682092607021332,0.4414
4,0.5,64,20.0,12,4.4759114583333334e-08,9.228497600590624e-06,0.5732896576325098,0.4431333333333333
4,0.5,256,-10.0,12,0.45653764648437495,1.0,0.09187314659357067,0.158475
4,0.5,256,-5.0,12,0.4045302083333333,1.0,0.12928613399465874,0.1909833333333333
4,0.5,256,0.0,12,0.31410352783203127,1.0,0.1664334212740262,0.222925
4,0.5,256,5.0,12,0.26370359293619794,1.0,0.24524846921364463,0.29784166666666667
4,0.5,256,10.0,12,0.18835511881510417,1.0,0.31944145013888675,0.35447500000000004
4,0.5,256,15.0,12,0.036699869791666666,0.7190858513948215,0.3884840706984202,0.3796833333333334
4,0.5,256,20.0,12,3.7027994791666667e-06,0.000218847228813975,0.5732435882091522,0.443125
4,0.6666666666666666,4,-10.0,12,0.37587564290364583,1.0,0.016307099722325757,0.10740833333333333
4,0.6666666666666666,4,-5.0,12,0.28638485107421874,1.0,0.029997956783821136,0.117075
4,0.6666666666666666,4,0.0,12,0.14977623697916667,1.0,0.06215110017607606,0.13954166666666667
4,0.6666666666666666,4,5.0,12,5.962727864583333e-05,0.004724940938238217,0.5706710120042165,0.44176666666666664
4,0.6666666666666666,4,10.0,12,0.0,0.0,0.57329460978508,0.4431333333333333
4,0.6666666666666666,4,15.0,12,0.0,0.0,0.57329460978508,0.4431333333333333
4,0.6666666666666666,4,20.0,12,0.0,0.0,0.57329460978508,0.4431333333333333
4,0.6666666666666666,16,-10.0,12,0.4374768432617187,1.0,0.0796965435147285,0.14554999999999998
4,0.6666666666666666,16,-5.0,12,0.38031605224609377,1.0,0.1161132454872131,0.17684999999999998
4,0.6666666666666666,16,0.0,12,0.2829956746419271,1.0,0.150672731300195,0.20705833333333334
4,0.6666666666666666,16,5.0,12,0.15680975341796874,1.0,0.16224350159366924,0.21916666666666665
4,0.6666666666666666,16,10.0,12,0.0022797770182291666,0.09963684047699399,0.5023984685540199,0.4135083333333333
4,0.6666666666666666,16,15.0,12,0.0,0.0,0.57329460978508,0.4431333333333333
4,0.6666666666666666,16,20.0,12,0.0,0.0,0.57329460978508,0.4431333333333333
4,0.6666666666666666,64,-10.0,12,0.4556727783203125,1.0,0.030920408976574693,0.10328333333333334
4,0.6666666666666666,64,-5.0,12,0.4135340006510417,1.0,0.03732776672889784,0.10726666666666666
4,0.6666666666666666,64,0.0,12,0.34295498860677087,1.0,0.052799733666082184,0.11359999999999999
4,0.6666666666666666,64,5.0,12,0.258533447265625,1.0,0.05361223251869276,0.12392500000000001
4,0.6666666666666666,64,10.0,12,0.14360615234375,1.0,0.0859879354635874,0.15389166666666668
4,0.6666666666666666,64,15.0,12,0.005278837076822917,0.20268379457756777,0.42159287879864377,0.3751
4,0.6666666666666666,64,20.0,12,8.544921875e-08,1.2304533693328833e-05,0.5732915302117666,0.443125
4,0.6666666666666666,256,-10.0,12,0.45851448974609377,1.0,0.09011177221933998,0.15250833333333333
4,0.6666666666666666,256,-5.0,12,0.40847314453125,1.0,0.12734633746246493,0.19010833333333332
4,0.6666666666666666,256,0.0,12,0.3170308146158854,1.0,0.16218652824560797,0.21915833333333334
4,0.6666666666666666,256,5.0,12,0.2601805501302083,1.0,0.23658554628491402,0.2914666666666667
4,0.6666666666666666,256,10.0,12,0.22457040201822917,1.0,0.3299726545810699,0.3603083333333333
4,0.6666666666666666,256,15.0,12,0.1220012939453125,1.0,0.3782431036233902,0.38244999999999996
4,0.6666666666666666,256,20.0,12,0.004647696940104167,0.19710105186185167,0.5352350523074468,0.4318583333333333
4,0.75,4,-10.0,12,0.37591282145182287,1.0,0.016402765099580035,0.11038333333333333
4,0.75,4,-5.0,12,0.2868869099934896,1.0,0.029892597192277465,0.11636666666666667
4,0.75,4,0.0,12,0.15649455159505207,1.0,0.05991783024122312,0.13665000000000002
4,0.75,4,5.0,12,0.0011441935221354167,0.06782352475874068,0.5249887009461721,0.423325
4,0.75,4,10.0,12,0.0,0.0,0.57329460978508,0.4431333333333333
4,0.75,4,15.0,12,0.0,0.0,0.57329460978508,0.4431333333333333
4,0.75,4,20.0,12,0.0,0.0,0.57329460978508,0.4431333333333333
4,0.75,16,-10.0,12,0.43746544596354164,1.0,0.07979967320958768,0.14461666666666667
4,0.75,16,-5.0,12,0.3804871215820313,1.0,0.1165633058796326,0.1763
4,0.75,16,0.0,12,0.28359901123046877,1.0,0.15104734152555463,0.2083
4,0.75,16,5.0,12,0.16264165852864584,1.0,0.1616544499993324,0.219325
4,0.75,16,10.0,12,0.025016251627604166,0.7513229710488846,0.24515016128619507,0.28341666666666665
4,0.75,16,15.0,12,8.138020833333334e-09,1.977535200126562e-06,0.573294555147489,0.4431333333333333
4,0.75,16,20.0,12,0.0,0.0,0.57329460978508,0.4431333333333333
4,0.75,64,-10.0,12,0.4559914754231771,1.0,0.031102633879830383,0.10204999999999999
4,0.75,64,-5.0,12,0.41403169759114583,1.0,0.03723869752138848,0.107375
4,0.75,64,0.0,12,0.3435507039388021,1.0,0.05277711090942217,0.11153333333333333
4,0.75,64,5.0,12,0.26088268229166667,1.0,0.053257515033086095,0.12450833333333333
4,0.75,64,10.0,12,0.15219544270833332,1.0,0.0830364363888899,0.15226666666666666
4,0.75,64,15.0,12,0.037463399251302085,0.9218240784685968,0.17047244807084397,0.22683333333333333
4,0.75,64,20.0,12,1.708984375e-07,9.88767600063281e-06,0.573288694024086,0.44311666666666666
