encoder_depth,quantization_bits,snr_db,rows,avg_ber,avg_bler,avg_semantic_score,avg_recovered_accuracy
8,4,10.0,12,0.08887918701171875,0.5753936465796254,0.3507092135647933,0.2778333333333333
8,4,15.0,12,0.028779895019531248,0.32366145755774756,0.470656581223011,0.34225833333333333
8,4,20.0,12,0.0037204793294270833,0.08779292671187362,0.5480260935922464,0.3819083333333333
8,8,-10.0,12,0.43433169962565105,1.0,0.04695897879234201,0.11332500000000001
8,8,-5.0,12,0.37401189982096356,1.0,0.06346317178880169,0.12163333333333333
8,8,0.0,12,0.27282753092447914,0.9999861572535992,0.08075599496563272,0.12948333333333334
8,8,5.0,12,0.17017034301757814,0.7561208010335917,0.3054410706584652,0.255475
8,8,10.0,12,0.08983243001302083,0.574453211517165,0.4577322319770853,0.34088333333333337
8,8,15.0,12,0.03009613037109375,0.3355726722213433,0.6636647569636503,0.4589750000000001
8,8,20.0,12,0.004036307779947916,0.099380482167027,0.880262146393458,0.5831166666666667
9,2,-10.0,12,0.4369204752604167,1.0,0.06915502063930029,0.138075
9,2,-5.0,12,0.3849607259114583,1.0,0.11086754997571306,0.16935
9,2,0.0,12,0.29814317220052083,0.9999894531455994,0.17881616329153374,0.22491666666666668
9,2,5.0,12,0.18422352701822917,0.7562595544160468,0.29367438207070035,0.31716666666666665
9,2,10.0,12,0.09058006184895832,0.5708730102890206,0.3895464998980363,0.3953083333333333
9,2,15.0,12,0.02866410319010417,0.29177251841512636,0.4756061832110087,0.45565833333333333
9,2,20.0,12,0.003044685872395833,0.08485018737040347,0.5152865126729012,0.47923333333333334
9,4,-10.0,12,0.43297510579427084,1.0,0.05325262605523066,0.12474166666666665
9,4,-5.0,12,0.37322518717447917,1.0,0.07582224439829582,0.13970000000000002
9,4,0.0,12,0.2731364949544271,0.9999920898591995,0.10520591773092743,0.159775
9,4,5.0,12,0.1691522501627604,0.7562222006025946,0.24936372848848498,0.2699416666666667
9,4,10.0,12,0.08870210367838542,0.5723264983274088,0.35198830999433994,0.3482083333333334
9,4,15.0,12,0.028599881998697913,0.32175204843414185,0.4716659337282181,0.43438333333333334
9,4,20.0,12,0.0036560465494791666,0.08665321649070273,0.5488283683856329,0.4861583333333333
9,8,-10.0,12,0.4321857828776042,1.0,0.04655509605072433,0.119125
9,8,-5.0,12,0.37213344726562503,1.0,0.06286433634037768,0.12851666666666667
9,8,0.0,12,0.2713488952636719,0.9999854980751991,0.079291523899883,0.13825833333333334
9,8,5.0,12,0.1697905558268229,0.7560612552514545,0.3047815520937244,0.282425
9,8,10.0,12,0.08963442382812499,0.5710132890365448,0.45972206722944975,0.381125
9,8,15.0,12,0.029931337483723962,0.33393142786830493,0.6649948370953401,0.5081333333333333
9,8,20.0,12,0.003932210286458334,0.09822285503348627,0.8808351258436838,0.6403416666666667
10,2,-10.0,12,0.4376271077473958,1.0,0.06297786068171259,0.14708333333333334
10,2,-5.0,12,0.38551031087239584,1.0,0.09959371077517665,0.18985
10,2,0.0,12,0.29833536783854164,0.9999815430047988,0.15910130180418489,0.2714666666666667
10,2,5.0,12,0.18462374674479168,0.7562380211066655,0.25566890959938365,0.41345000000000004
10,2,10.0,12,0.09081159667968751,0.5727925320057253,0.3359269089996815,0.53275
10,2,15.0,12,0.029021232096354165,0.2933290573055663,0.408620352546374,0.6272333333333333
10,2,20.0,12,0.00319365234375,0.0875532415034418,0.44270849227905273,0.6652
10,4,-10.0,12,0.4341539143880208,1.0,0.05062052188441154,0.13065833333333335
10,4,-5.0,12,0.37430105387369794,1.0,0.0723763195176919,0.153375
10,4,0.0,12,0.27389310709635417,0.9999881347887992,0.1017073240752021,0.17881666666666665
10,4,5.0,12,0.16949733479817708,0.7558697599588619,0.2423802828416228,0.34286666666666665
10,4,10.0,12,0.08885351155598958,0.5744033439926685,0.34301323257386684,0.459975
10,4,15.0,12,0.02875142008463542,0.32309742370656297,0.46286700417598087,0.5858583333333333
10,4,20.0,12,0.0037463948567708336,0.08812647359631663,0.54019287849466,0.6601666666666667
10,8,-10.0,12,0.4334524759928386,1.0,0.04444068278341239,0.12185833333333333
10,8,-5.0,12,0.3729472880045573,1.0,0.05982470900441206,0.13820833333333335
10,8,0.0,12,0.27132066243489583,0.9999854980751991,0.07645671519761278,0.15116666666666667
10,8,5.0,12,0.16929285278320313,0.7560267582485191,0.30088220893715817,0.31825833333333337
10,8,10.0,12,0.08962041625976562,0.5731900059765508,0.4539841931934158,0.42849166666666666
10,8,15.0,12,0.029950769042968745,0.3353921672027984,0.6607844910273949,0.5663583333333333
10,8,20.0,12,0.003988439941406251,0.09845400692576771,0.880063376079003,0.7041749999999999
11,2,-10.0,12,0.4371078694661458,1.0,0.06445812030384934,0.17576666666666665
11,2,-5.0,12,0.38503163248697914,1.0,0.10317904129624363,0.24803333333333333
11,2,0.0,12,0.2982556722005208,0.9999947265727996,0.16546562686562533,0.37390833333333334
11,2,5.0,12,0.18428124999999998,0.7561685879080758,0.27010142430663103,0.5540416666666667
11,2,10.0,12,0.090582861328125,0.5709472765355857,0.35748396813869476,0.7030666666666666
11,2,15.0,12,0.02867329915364583,0.29164771534328293,0.436029036839803,0.7957166666666667
11,2,20.0,12,0.0030543457031249996,0.084452925821282,0.4726532871524492,0.8276583333333333
11,4,-10.0,12,0.43313350830078123,1.0,0.050882861483842086,0.14958333333333332
11,4,-5.0,12,0.3733853556315104,1.0,0.07260183415686088,0.1852666666666667
11,4,0.0,12,0.27332686360677083,0.9999881347887992,0.10197604354470964,0.22940000000000002
11,4,5.0,12,0.1691521728515625,0.756089266254841,0.24488782758514083,0.4412416666666667
11,4,10.0,12,0.08869815266927084,0.5724170264027668,0.34764387644827366,0.58845
11,4,15.0,12,0.028618428548177078,0.3225865611695575,0.4673956632614136,0.7391916666666667
11,4,20.0,12,0.0036727457682291663,0.08714232647421166,0.5448964113990465,0.8081333333333333
11,8,-10.0,12,0.4325332702636719,1.0,0.0444411319913342,0.13803333333333334
11,8,-5.0,12,0.372174267578125,1.0,0.05995634718177214,0.16024166666666667
11,8,0.0,12,0.27101600138346355,0.999983520539999,0.07701865506047999,0.18159166666666668
11,8,5.0,12,0.1694095682779948,0.7559560064335812,0.30298451411848265,0.38414166666666666
11,8,10.0,12,0.08958664957682293,0.5717470644588585,0.45828528112421435,0.521325
11,8,15.0,12,0.029891727701822916,0.33417609291778727,0.6642548435678085,0.6765083333333334
11,8,20.0,12,0.003924778238932292,0.09767430874158446,0.8808236687133709,0.8188666666666666
12,2,-10.0,12,0.43611693522135414,1.0,0.06924322775254642,0.24339166666666667
12,2,-5.0,12,0.3843538411458334,1.0,0.11321785238881903,0.376775
12,2,0.0,12,0.2978930908203125,0.9999736328639983,0.18433622394998864,0.5655083333333334
12,2,5.0,12,0.18341373697916666,0.7560574060025839,0.3089637036124865,0.7474916666666666
12,2,10.0,12,0.09016984863281251,0.5667325026377369,0.41380026564002037,0.876275
12,2,15.0,12,0.028363728841145835,0.2902427872623828,0.505682128171126,0.9184749999999999
12,2,20.0,12,0.00285830078125,0.08208999550681934,0.5481574585040411,0.92525
12,4,-10.0,12,0.43117167561848957,1.0,0.052576025637487526,0.19047499999999998
12,4,-5.0,12,0.37164483235677087,1.0,0.07613835390657182,0.2584166666666667
12,4,0.0,12,0.2719494873046875,0.9999854980751991,0.10677641785393155,0.3391333333333333
12,4,5.0,12,0.16867275390625,0.7561749590019066,0.25985181207458175,0.5842416666666667
12,4,10.0,12,0.08846546630859375,0.5685186559122389,0.3706714026629925,0.7342416666666667
12,4,15.0,12,0.028401770019531248,0.3203203172317963,0.4961144303282102,0.8693416666666667
12,4,20.0,12,0.0035407185872395833,0.08532080437420018,0.5765835829079151,0.9063833333333333
12,8,-10.0,12,0.43073668619791666,1.0,0.04525016158974416,0.17150833333333335
12,8,-5.0,12,0.3709645202636718,1.0,0.062162299485256235,0.217225
12,8,0.0,12,0.2706677449544271,0.9999874756103991,0.07884479795272147,0.25609166666666666
12,8,5.0,12,0.1698062316894531,0.7560768558069223,0.30647523639102775,0.4892083333333333
12,8,10.0,12,0.08949691162109374,0.5682203501555662,0.4648990745966633,0.6150833333333333
12,8,15.0,12,0.029675553385416664,0.3315035639578829,0.6681190002709627,0.7725
12,8,20.0,12,0.0038071818033854165,0.09603449260841286,0.8826405486712853,0.883775
